	Time	Channel 1	Channel 2	Channel 3	Channel 4
0	0.0	-3.7	3.46829268293	14.7674418605	-4.26923076923
1	0.0005	-0.8	-0.841463414634	9.01860465116	0.0461538461538
2	0.001	0.65	2.03170731707	11.8930232558	0.0461538461538
3	0.0015	-2.25	4.90487804878	6.14418604651	7.23846153846
4	0.002	3.55	-5.1512195122	19.0790697674	-2.83076923077
5	0.0025	-10.95	-3.71463414634	9.01860465116	-2.83076923077
6	0.003	-2.25	0.59512195122	3.26976744186	-2.83076923077
7	0.0035	0.65	0.59512195122	13.3302325581	-4.26923076923
8	0.004	-2.25	0.59512195122	1.83255813953	-2.83076923077
9	0.0045	16.6	-0.841463414634	9.01860465116	-2.83076923077
10	0.005	-6.6	0.59512195122	13.3302325581	-7.14615384615
11	0.0055	-3.7	2.03170731707	11.8930232558	-5.70769230769
12	0.006	-15.3	2.03170731707	9.01860465116	-4.26923076923
13	0.0065	19.5	-0.841463414634	11.8930232558	-4.26923076923
14	0.007	-8.05	0.59512195122	13.3302325581	-15.7769230769
15	0.0075	-3.7	2.03170731707	6.14418604651	8.67692307692
16	0.008	-5.15	2.03170731707	11.8930232558	-10.0230769231
17	0.0085	-3.7	2.03170731707	21.9534883721	-5.70769230769
18	0.009	-3.7	-2.27804878049	6.14418604651	-2.83076923077
19	0.0095	0.65	3.46829268293	3.26976744186	-1.39230769231
20	0.01	0.65	9.21463414634	6.14418604651	-2.83076923077
21	0.0105	-2.25	6.34146341463	7.58139534884	-2.83076923077
22	0.011	2.1	-3.71463414634	4.70697674419	-1.39230769231
23	0.0115	-8.05	0.59512195122	9.01860465116	-2.83076923077
24	0.012	-6.6	2.03170731707	4.70697674419	1.48461538462
25	0.0125	0.65	2.03170731707	11.8930232558	2.92307692308
26	0.013	-2.25	0.59512195122	10.4558139535	-1.39230769231
27	0.0135	0.65	0.59512195122	14.7674418605	-5.70769230769
28	0.014	-0.8	0.59512195122	0.395348837209	-8.58461538462
29	0.0145	0.65	-9.46097560976	9.01860465116	0.0461538461538
30	0.015	-2.25	16.3975609756	7.58139534884	-2.83076923077
31	0.0155	0.65	-3.71463414634	7.58139534884	-4.26923076923
32	0.016	-15.3	-0.841463414634	7.58139534884	-4.26923076923
33	0.0165	20.95	0.59512195122	9.01860465116	0.0461538461538
34	0.017	-10.95	0.59512195122	14.7674418605	-14.3384615385
35	0.0175	-2.25	-0.841463414634	6.14418604651	8.67692307692
36	0.018	0.65	0.59512195122	11.8930232558	-11.4615384615
37	0.0185	-0.8	0.59512195122	19.0790697674	-4.26923076923
38	0.019	-3.7	0.59512195122	6.14418604651	-2.83076923077
39	0.0195	-2.25	0.59512195122	6.14418604651	-2.83076923077
40	0.02	-3.7	-5.1512195122	9.01860465116	-4.26923076923
41	0.0205	2.1	0.59512195122	9.01860465116	0.0461538461538
42	0.021	-13.85	0.59512195122	11.8930232558	-4.26923076923
43	0.0215	18.05	0.59512195122	11.8930232558	1.48461538462
44	0.022	-2.25	0.59512195122	6.14418604651	-7.14615384615
45	0.0225	-0.8	-0.841463414634	1.83255813953	-7.14615384615
46	0.023	-2.25	-0.841463414634	11.8930232558	2.92307692308
47	0.0235	-2.25	0.59512195122	4.70697674419	-2.83076923077
48	0.024	-2.25	-9.46097560976	9.01860465116	-2.83076923077
49	0.0245	-0.8	2.03170731707	3.26976744186	-2.83076923077
50	0.025	0.65	3.46829268293	7.58139534884	-1.39230769231
51	0.0255	-10.95	-0.841463414634	7.58139534884	-4.26923076923
52	0.026	16.6	0.59512195122	6.14418604651	1.48461538462
53	0.0265	-10.95	0.59512195122	7.58139534884	-2.83076923077
54	0.027	-5.15	2.03170731707	6.14418604651	14.4307692308
55	0.0275	0.65	0.59512195122	6.14418604651	-8.58461538462
56	0.028	-0.8	2.03170731707	24.8279069767	-1.39230769231
57	0.0285	-0.8	0.59512195122	-1.04186046512	0.0461538461538
58	0.029	0.65	0.59512195122	9.01860465116	-2.83076923077
59	0.0295	-2.25	14.9609756098	7.58139534884	0.0461538461538
60	0.03	-0.8	-6.58780487805	6.14418604651	-1.39230769231
61	0.0305	-2.25	2.03170731707	7.58139534884	-1.39230769231
62	0.031	-10.95	2.03170731707	9.01860465116	-5.70769230769
63	0.0315	18.05	0.59512195122	7.58139534884	0.0461538461538
64	0.032	-0.8	3.46829268293	7.58139534884	-10.0230769231
65	0.0325	-0.8	-0.841463414634	6.14418604651	-12.9
66	0.033	-2.25	-0.841463414634	3.26976744186	-4.26923076923
67	0.0335	0.65	-0.841463414634	9.01860465116	-4.26923076923
68	0.034	-2.25	-3.71463414634	11.8930232558	-2.83076923077
69	0.0345	-0.8	2.03170731707	7.58139534884	-1.39230769231
70	0.035	-3.7	4.90487804878	4.70697674419	-4.26923076923
