	Time	Channel 1	Channel 2	Channel 3	Channel 4
0	0.0	5.04545454545	0.55	3.16	-1.3
1	0.0005	-7.88181818182	0.55	4.6	-8.4875
2	0.001	-17.9363636364	-0.9	-2.6	-2.7375
3	0.0015	-12.1909090909	0.55	1.72	-5.6125
4	0.002	-9.31818181818	0.55	0.28	-4.175
5	0.0025	-5.00909090909	-11.05	4.6	-1.3
6	0.003	-10.7545454545	0.55	1.72	-4.175
7	0.0035	5.04545454545	-0.9	1.72	-2.7375
8	0.004	-6.44545454545	2.0	4.6	-12.8
9	0.0045	-19.3727272727	0.55	6.04	-4.175
10	0.005	9.35454545455	0.55	4.6	-1.3
11	0.0055	-7.88181818182	0.55	4.6	-4.175
12	0.006	-3.57272727273	0.55	4.6	4.45
13	0.0065	-3.57272727273	0.55	3.16	-11.3625
14	0.007	-0.7	0.55	-5.48	-1.3
15	0.0075	2.17272727273	-2.35	-1.16	-5.6125
16	0.008	5.04545454545	-11.05	-1.16	0.1375
17	0.0085	5.04545454545	17.95	-1.16	-4.175
18	0.009	9.35454545455	-11.05	0.28	-5.6125
19	0.0095	-5.00909090909	-2.35	3.16	-4.175
20	0.01	16.5363636364	-3.8	0.28	-4.175
21	0.0105	12.2272727273	-2.35	4.6	-7.05
22	0.011	-3.57272727273	-2.35	3.16	-12.8
23	0.0115	3.60909090909	-0.9	-8.36	-1.3
24	0.012	0.736363636364	-0.9	1.72	-11.3625
25	0.0125	-2.13636363636	0.55	-9.8	-2.7375
26	0.013	-5.00909090909	0.55	-4.04	-4.175
27	0.0135	-2.13636363636	-6.7	0.28	-5.6125
28	0.014	0.736363636364	-6.7	-4.04	-1.3
29	0.0145	0.736363636364	-2.35	-1.16	-2.7375
30	0.015	2.17272727273	-0.9	0.28	-1.3
31	0.0155	-9.31818181818	-2.35	1.72	-7.05
32	0.016	2.17272727273	-0.9	0.28	11.6375
33	0.0165	2.17272727273	0.55	3.16	-12.8
34	0.017	0.736363636364	3.45	0.28	4.45
35	0.0175	0.736363636364	-3.8	-2.6	-2.7375
36	0.018	0.736363636364	0.55	1.72	-2.7375
37	0.0185	3.60909090909	0.55	-6.92	-2.7375
38	0.019	3.60909090909	-6.7	1.72	-2.7375
39	0.0195	3.60909090909	0.55	3.16	-1.3
40	0.02	-12.1909090909	-0.9	0.28	-5.6125
41	0.0205	19.4090909091	-0.9	-1.16	-1.3
42	0.021	-0.7	0.55	1.72	-5.6125
43	0.0215	3.60909090909	-3.8	-1.16	-9.925
44	0.022	2.17272727273	-0.9	-1.16	14.5125
45	0.0225	-2.13636363636	-3.8	17.56	-4.175
46	0.023	-3.57272727273	0.55	-9.8	-5.6125
47	0.0235	-5.00909090909	-9.6	1.72	-1.3
48	0.024	-2.13636363636	16.5	1.72	-2.7375
49	0.0245	-5.00909090909	-6.7	4.6	-4.175
50	0.025	5.04545454545	0.55	1.72	-2.7375
51	0.0255	-5.00909090909	2.0	0.28	-4.175
52	0.026	-2.13636363636	-0.9	0.28	-1.3
53	0.0265	-5.00909090909	-0.9	0.28	-2.7375
54	0.027	0.736363636364	-3.8	4.6	-4.175
55	0.0275	3.60909090909	-0.9	3.16	-4.175
56	0.028	3.60909090909	3.45	-1.16	-4.175
57	0.0285	0.736363636364	-11.05	1.72	-2.7375
58	0.029	0.736363636364	10.7	1.72	-2.7375
59	0.0295	2.17272727273	-2.35	1.72	-4.175
60	0.03	-16.5	-0.9	-1.16	-4.175
61	0.0305	15.1	-2.35	1.72	-1.3
62	0.031	-6.44545454545	-0.9	3.16	-11.3625
63	0.0315	-5.00909090909	-0.9	1.72	4.45
64	0.032	-5.00909090909	-0.9	16.12	-4.175
65	0.0325	-5.00909090909	3.45	-4.04	-7.05
66	0.033	-5.00909090909	0.55	0.28	-4.175
67	0.0335	-3.57272727273	13.6	3.16	-7.05
68	0.034	-7.88181818182	-6.7	1.72	-2.7375
69	0.0345	2.17272727273	0.55	0.28	-2.7375
70	0.035	-16.5	2.0	0.28	-2.7375
71	0.0355	15.1	2.0	0.28	1.575
72	0.036	-3.57272727273	2.0	6.04	-2.7375
73	0.0365	0.736363636364	0.55	4.6	0.1375
74	0.037	0.736363636364	0.55	7.48	-1.3
75	0.0375	0.736363636364	0.55	0.28	-9.925
76	0.038	0.736363636364	-3.8	0.28	-2.7375
77	0.0385	0.736363636364	-0.9	4.6	-4.175
78	0.039	0.736363636364	15.05	3.16	-1.3
79	0.0395	-2.13636363636	-6.7	1.72	-4.175
80	0.04	20.8454545455	2.0	0.28	-1.3
81	0.0405	-6.44545454545	0.55	3.16	-5.6125
82	0.041	-5.00909090909	0.55	1.72	-1.3
83	0.0415	0.736363636364	-0.9	6.04	-7.05
84	0.042	0.736363636364	-0.9	7.48	-1.3
85	0.0425	0.736363636364	-3.8	0.28	-5.6125
86	0.043	0.736363636364	-0.9	8.92	-4.175
87	0.0435	-0.7	-5.25	-1.16	-2.7375
88	0.044	-2.13636363636	3.45	0.28	-4.175
89	0.0445	-15.0636363636	-2.35	1.72	-5.6125
90	0.045	5.04545454545	0.55	3.16	-1.3
91	0.0455	-0.7	-0.9	3.16	-4.175
92	0.046	-6.44545454545	0.55	1.72	-1.3
93	0.0465	-5.00909090909	-0.9	13.24	-5.6125
94	0.047	-7.88181818182	2.0	-2.6	-8.4875
95	0.0475	-7.88181818182	0.55	-2.6	-2.7375
96	0.048	-6.44545454545	-2.35	-1.16	-4.175
97	0.0485	-6.44545454545	-5.25	0.28	-5.6125
98	0.049	-5.00909090909	-9.6	0.28	-4.175
99	0.0495	-3.57272727273	-0.9	-1.16	-2.7375
100	0.05	-7.88181818182	3.45	0.28	-4.175
101	0.0505	16.5363636364	0.55	0.28	-2.7375
102	0.051	-0.7	-2.35	0.28	-9.925
103	0.0515	-0.7	0.55	-11.24	-2.7375
104	0.052	-2.13636363636	0.55	0.28	-8.4875
105	0.0525	-5.00909090909	2.0	-12.68	-2.7375
106	0.053	-5.00909090909	-11.05	-1.16	0.1375
107	0.0535	-2.13636363636	19.4	-1.16	-2.7375
108	0.054	-5.00909090909	-5.25	-1.16	-2.7375
109	0.0545	0.736363636364	0.55	-2.6	-1.3
110	0.055	-7.88181818182	0.55	-1.16	-11.3625
111	0.0555	-3.57272727273	0.55	-2.6	8.7625
112	0.056	-2.13636363636	-0.9	-1.16	-1.3
113	0.0565	-2.13636363636	2.0	-2.6	3.0125
114	0.057	-0.7	0.55	6.04	-5.6125
115	0.0575	0.736363636364	0.55	-1.16	-2.7375
116	0.058	-3.57272727273	-6.7	-8.36	-4.175
117	0.0585	-0.7	6.35	-4.04	-4.175
118	0.059	-5.00909090909	9.25	-2.6	-2.7375
119	0.0595	-2.13636363636	0.55	-2.6	-1.3
120	0.06	-3.57272727273	2.0	0.28	-8.4875
121	0.0605	-10.7545454545	0.55	0.28	-7.05
122	0.061	-2.13636363636	-0.9	-1.16	-7.05
123	0.0615	-5.00909090909	0.55	-2.6	-9.925
124	0.062	-6.44545454545	0.55	-5.48	-5.6125
125	0.0625	-0.7	0.55	8.92	-2.7375
126	0.063	-2.13636363636	-3.8	-2.6	-4.175
127	0.0635	-2.13636363636	0.55	0.28	-2.7375
128	0.064	-6.44545454545	0.55	0.28	-1.3
129	0.0645	-3.57272727273	-8.15	1.72	-2.7375
130	0.065	-9.31818181818	3.45	0.28	-1.3
131	0.0655	15.1	2.0	-1.16	-2.7375
132	0.066	-3.57272727273	-0.9	1.72	-12.8
133	0.0665	-5.00909090909	0.55	-9.8	-2.7375
134	0.067	-6.44545454545	-0.9	4.6	-9.925
135	0.0675	-5.00909090909	4.9	4.6	-4.175
136	0.068	-7.88181818182	-9.6	1.72	-4.175
137	0.0685	-3.57272727273	15.05	0.28	-2.7375
138	0.069	-3.57272727273	-3.8	1.72	-2.7375
139	0.0695	15.1	2.0	3.16	-2.7375
140	0.07	16.5363636364	2.0	-1.16	-15.675
141	0.0705	-7.88181818182	0.55	1.72	-1.3
142	0.071	-5.00909090909	0.55	-11.24	-9.925
143	0.0715	-3.57272727273	0.55	1.72	-1.3
144	0.072	-5.00909090909	2.0	1.72	-4.175
145	0.0725	-7.88181818182	0.55	4.6	-2.7375
146	0.073	-6.44545454545	9.25	-2.6	-5.6125
147	0.0735	-13.6272727273	2.0	-1.16	-5.6125
148	0.074	-9.31818181818	-3.8	1.72	-2.7375
149	0.0745	-23.6818181818	0.55	-1.16	-2.7375
150	0.075	-10.7545454545	3.45	3.16	-1.3
151	0.0755	-7.88181818182	0.55	3.16	-7.05
152	0.076	-7.88181818182	0.55	4.6	7.325
153	0.0765	-7.88181818182	-0.9	-4.04	-2.7375
154	0.077	-6.44545454545	4.9	-2.6	-4.175
155	0.0775	-2.13636363636	-2.35	0.28	-7.05
156	0.078	-3.57272727273	-0.9	1.72	-5.6125
157	0.0785	-3.57272727273	-2.35	3.16	-7.05
158	0.079	-0.7	2.0	-1.16	-1.3
159	0.0795	-10.7545454545	-0.9	1.72	-7.05
160	0.08	17.9727272727	-0.9	1.72	-4.175
161	0.0805	-10.7545454545	0.55	1.72	-14.2375
162	0.081	-2.13636363636	0.55	-11.24	-4.175
163	0.0815	2.17272727273	2.0	14.68	-4.175
164	0.082	-2.13636363636	3.45	-11.24	-8.4875
165	0.0825	-0.7	2.0	-4.04	-4.175
166	0.083	-2.13636363636	6.35	-2.6	-4.175
167	0.0835	-5.00909090909	-5.25	-1.16	-4.175
168	0.084	-2.13636363636	3.45	-2.6	-2.7375
169	0.0845	2.17272727273	-3.8	-2.6	-4.175
170	0.085	-10.7545454545	0.55	1.72	-7.05
171	0.0855	-2.13636363636	-2.35	-1.16	11.6375
172	0.086	2.17272727273	3.45	-1.16	-9.925
173	0.0865	3.60909090909	3.45	-2.6	3.0125
174	0.087	2.17272727273	-0.9	-4.04	-1.3
175	0.0875	0.736363636364	3.45	1.72	-5.6125
176	0.088	3.60909090909	0.55	0.28	-2.7375
177	0.0885	-0.7	13.6	1.72	-2.7375
178	0.089	5.04545454545	-12.5	-1.16	-2.7375
179	0.0895	-12.1909090909	0.55	0.28	-7.05
180	0.09	15.1	2.0	-1.16	0.1375
181	0.0905	-7.88181818182	0.55	1.72	-15.675
182	0.091	-3.57272727273	0.55	-12.68	-2.7375
183	0.0915	0.736363636364	-0.9	3.16	-7.05
184	0.092	0.736363636364	2.0	-11.24	-7.05
185	0.0925	-0.7	-2.35	-4.04	-4.175
186	0.093	0.736363636364	7.8	-2.6	-1.3
187	0.0935	0.736363636364	7.8	3.16	-7.05
188	0.094	-0.7	-6.7	1.72	-2.7375
189	0.0945	0.736363636364	-2.35	0.28	-2.7375
190	0.095	-12.1909090909	0.55	0.28	-15.675
191	0.0955	-5.00909090909	-0.9	-2.6	7.325
192	0.096	-3.57272727273	-0.9	0.28	-8.4875
193	0.0965	-6.44545454545	0.55	-1.16	-7.05
194	0.097	-7.88181818182	0.55	-1.16	-4.175
195	0.0975	-7.88181818182	-2.35	8.92	-4.175
196	0.098	-5.00909090909	-3.8	-9.8	-4.175
197	0.0985	-3.57272727273	-9.6	0.28	-1.3
198	0.099	0.736363636364	-0.9	-1.16	-1.3
199	0.0995	-16.5	-0.9	3.16	-5.6125
200	0.1	5.04545454545	-2.35	-2.6	-2.7375
201	0.1005	13.6636363636	-0.9	0.28	0.1375
202	0.101	-0.7	2.0	1.72	-11.3625
203	0.1015	-0.7	0.55	-11.24	-2.7375
204	0.102	-3.57272727273	2.0	14.68	-2.7375
205	0.1025	-2.13636363636	0.55	-5.48	1.575
206	0.103	-5.00909090909	-9.6	1.72	-4.175
207	0.1035	-3.57272727273	10.7	-1.16	-5.6125
208	0.104	-3.57272727273	6.35	0.28	-2.7375
209	0.1045	2.17272727273	3.45	4.6	-1.3
210	0.105	-0.7	0.55	1.72	-1.3
211	0.1055	10.7909090909	0.55	0.28	-5.6125
212	0.106	-2.13636363636	-0.9	-1.16	-12.8
213	0.1065	-3.57272727273	-0.9	-6.92	-1.3
214	0.107	-5.00909090909	0.55	4.6	10.2
215	0.1075	-2.13636363636	-2.35	-2.6	-4.175
216	0.108	-3.57272727273	-11.05	-1.16	-4.175
217	0.1085	-0.7	10.7	1.72	-4.175
218	0.109	-3.57272727273	3.45	-1.16	-4.175
219	0.1095	-3.57272727273	0.55	1.72	-4.175
220	0.11	15.1	0.55	3.16	0.1375
221	0.1105	-13.6272727273	0.55	1.72	-15.675
222	0.111	-5.00909090909	0.55	1.72	13.075
223	0.1115	-5.00909090909	2.0	4.6	-8.4875
224	0.112	-3.57272727273	-0.9	-1.16	-4.175
225	0.1125	-2.13636363636	0.55	3.16	-4.175
226	0.113	-2.13636363636	-5.25	0.28	-4.175
227	0.1135	-3.57272727273	-0.9	-8.36	-4.175
228	0.114	-2.13636363636	-11.05	0.28	-4.175
229	0.1145	-2.13636363636	-2.35	-1.16	-2.7375
230	0.115	-13.6272727273	0.55	0.28	-4.175
231	0.1155	-2.13636363636	2.0	-2.6	8.7625
232	0.116	-3.57272727273	0.55	3.16	-4.175
233	0.1165	-5.00909090909	-0.9	1.72	-11.3625
234	0.117	-2.13636363636	-0.9	-1.16	13.075
235	0.1175	-0.7	-0.9	3.16	-4.175
236	0.118	0.736363636364	3.45	-6.92	-1.3
237	0.1185	2.17272727273	-11.05	1.72	-2.7375
238	0.119	7.91818181818	19.4	3.16	-4.175
239	0.1195	-9.31818181818	0.55	1.72	-4.175
240	0.12	19.4090909091	-0.9	1.72	-4.175
241	0.1205	3.60909090909	0.55	4.6	-8.4875
242	0.121	-0.7	2.0	1.72	3.0125
243	0.1215	3.60909090909	2.0	1.72	-4.175
244	0.122	3.60909090909	3.45	13.24	-2.7375
245	0.1225	0.736363636364	2.0	-5.48	-1.3
246	0.123	-0.7	-0.9	3.16	-2.7375
247	0.1235	-0.7	19.4	3.16	-4.175
248	0.124	-2.13636363636	-8.15	4.6	-4.175
249	0.1245	0.736363636364	0.55	3.16	-1.3
250	0.125	-12.1909090909	-0.9	3.16	-2.7375
251	0.1255	-3.57272727273	3.45	3.16	14.5125
252	0.126	-3.57272727273	3.45	3.16	-8.4875
253	0.1265	-3.57272727273	2.0	1.72	5.8875
254	0.127	-2.13636363636	0.55	16.12	-2.7375
255	0.1275	-2.13636363636	0.55	0.28	-1.3
256	0.128	-0.7	-9.6	0.28	-2.7375
257	0.1285	-2.13636363636	15.05	0.28	-2.7375
258	0.129	-5.00909090909	-3.8	3.16	-4.175
259	0.1295	-0.7	-0.9	0.28	-4.175
260	0.13	-0.7	0.55	-1.16	-4.175
261	0.1305	-7.88181818182	0.55	3.16	-4.175
