	Time	Channel 1	Channel 2	Channel 3	Channel 4
0	0.0	-893.575391499	-3393.0	-888.8	-641.0
1	0.0005	-893.575391499	-3393.0	-888.8	-641.0
2	0.001	-893.575391499	-3393.0	-888.8	-641.0
3	0.0015	-893.575391499	-3393.0	-888.8	-641.0
4	0.002	-893.575391499	-3393.0	-888.8	-641.0
5	0.0025	-893.575391499	-3393.0	-888.8	-641.0
6	0.003	-893.575391499	-3393.0	-888.8	-641.0
7	0.0035	-893.575391499	-3393.0	-888.8	-641.0
8	0.004	-893.575391499	-3393.0	-888.8	-641.0
9	0.0045	-893.575391499	-3393.0	-888.8	-641.0
10	0.005	-893.575391499	-3393.0	-888.8	-641.0
11	0.0055	-893.575391499	-3393.0	-888.8	-641.0
12	0.006	-893.575391499	-3393.0	-888.8	-641.0
13	0.0065	-893.575391499	-3393.0	-888.8	-641.0
14	0.007	-893.575391499	-3393.0	-888.8	-641.0
15	0.0075	-893.575391499	-3393.0	-888.8	-641.0
16	0.008	-893.575391499	-3393.0	-888.8	-641.0
17	0.0085	-893.575391499	-3393.0	-888.8	-641.0
18	0.009	-893.575391499	-3393.0	-888.8	-641.0
19	0.0095	-893.575391499	-3393.0	-888.8	-641.0
20	0.01	-893.575391499	-3393.0	-935.148387097	-641.0
21	0.0105	-893.575391499	-3393.0	-888.8	-641.0
22	0.011	-893.575391499	-3393.0	-888.8	-641.0
23	0.0115	-893.575391499	-3393.0	-888.8	-641.0
24	0.012	-893.575391499	-3393.0	-888.8	-641.0
25	0.0125	-893.575391499	-3393.0	-888.8	-641.0
26	0.013	-893.575391499	-3393.0	-888.8	-641.0
27	0.0135	-893.575391499	-3393.0	-888.8	-641.0
28	0.014	-893.575391499	-3393.0	-888.8	-641.0
29	0.0145	-893.575391499	-3393.0	-888.8	-641.0
30	0.015	-893.575391499	-3393.0	-888.8	-641.0
31	0.0155	-893.575391499	-3393.0	-888.8	-641.0
32	0.016	-893.575391499	-3393.0	-888.8	-641.0
33	0.0165	-893.575391499	-3393.0	-888.8	-641.0
34	0.017	-893.575391499	-3393.0	-888.8	-641.0
35	0.0175	-893.575391499	-3393.0	-888.8	-641.0
36	0.018	-893.575391499	-3393.0	-888.8	-641.0
37	0.0185	-893.575391499	-3393.0	-888.8	-641.0
38	0.019	-893.575391499	-3393.0	-888.8	-641.0
39	0.0195	-893.575391499	-3393.0	-888.8	-641.0
40	0.02	-893.575391499	-3393.0	-888.8	-641.0
41	0.0205	-893.575391499	-3393.0	-888.8	-641.0
42	0.021	-893.575391499	-3393.0	-888.8	-641.0
43	0.0215	-893.575391499	-3393.0	-888.8	-641.0
44	0.022	-893.575391499	-3393.0	-888.8	-641.0
45	0.0225	-893.575391499	-3393.0	-888.8	-641.0
46	0.023	-893.575391499	-3393.0	-888.8	-641.0
47	0.0235	-893.575391499	-3393.0	-888.8	-641.0
48	0.024	-893.575391499	-3393.0	-888.8	-641.0
49	0.0245	-893.575391499	-3393.0	-888.8	-641.0
50	0.025	-893.575391499	-3393.0	-888.8	-641.0
51	0.0255	-893.575391499	-3393.0	-888.8	-641.0
52	0.026	-893.575391499	-3393.0	-888.8	-641.0
53	0.0265	-893.575391499	-3393.0	-888.8	-641.0
54	0.027	-893.575391499	-3393.0	-888.8	-641.0
55	0.0275	-893.575391499	-3393.0	-888.8	-641.0
56	0.028	-893.575391499	-3393.0	-888.8	-641.0
57	0.0285	-893.575391499	-3393.0	-888.8	-641.0
58	0.029	-893.575391499	-3393.0	-888.8	-641.0
59	0.0295	-893.575391499	-3393.0	-888.8	-641.0
60	0.03	-893.575391499	-3393.0	-888.8	-641.0
61	0.0305	-893.575391499	-3393.0	-888.8	-641.0
62	0.031	-893.575391499	-3393.0	-888.8	-641.0
63	0.0315	-893.575391499	-3393.0	-888.8	-641.0
64	0.032	-893.575391499	-3393.0	-888.8	-641.0
65	0.0325	-893.575391499	-3393.0	-888.8	-641.0
66	0.033	-893.575391499	-3393.0	-888.8	-641.0
67	0.0335	-893.575391499	-3393.0	-888.8	-641.0
68	0.034	-893.575391499	-3393.0	-888.8	-641.0
69	0.0345	-893.575391499	-3393.0	-888.8	-641.0
70	0.035	-893.575391499	-3393.0	-888.8	-641.0
71	0.0355	-893.575391499	-3393.0	-888.8	-641.0
72	0.036	-893.575391499	-3393.0	-888.8	-641.0
73	0.0365	-893.575391499	-3393.0	-888.8	-641.0
74	0.037	-893.575391499	-3393.0	-888.8	-641.0
75	0.0375	-893.575391499	-3393.0	-888.8	-641.0
76	0.038	-893.575391499	-3393.0	-888.8	-641.0
77	0.0385	-893.575391499	-3393.0	-888.8	-641.0
78	0.039	-893.575391499	-3393.0	-888.8	-641.0
79	0.0395	-893.575391499	-3393.0	-888.8	-641.0
80	0.04	-893.575391499	-3393.0	-888.8	-641.0
81	0.0405	-893.575391499	-3393.0	-888.8	-641.0
82	0.041	-893.575391499	-3393.0	-888.8	-641.0
83	0.0415	-893.575391499	-3393.0	-888.8	-641.0
84	0.042	-893.575391499	-3393.0	-888.8	-641.0
85	0.0425	-893.575391499	-3393.0	-888.8	-641.0
86	0.043	-893.575391499	-3393.0	-888.8	-641.0
87	0.0435	-893.575391499	-3393.0	-888.8	-641.0
88	0.044	-893.575391499	-3393.0	-888.8	-641.0
89	0.0445	-893.575391499	-3393.0	-888.8	-641.0
90	0.045	-893.575391499	-3393.0	-888.8	-641.0
91	0.0455	-893.575391499	-3393.0	-888.8	-641.0
92	0.046	-893.575391499	-3393.0	-888.8	-641.0
93	0.0465	-893.575391499	-3393.0	-888.8	-641.0
94	0.047	-893.575391499	-3393.0	-888.8	-641.0
95	0.0475	-893.575391499	-3393.0	-888.8	-641.0
96	0.048	-893.575391499	-3393.0	-888.8	-641.0
97	0.0485	-893.575391499	-3393.0	-888.8	-641.0
98	0.049	-893.575391499	-3393.0	-888.8	-641.0
99	0.0495	-893.575391499	-3393.0	-888.8	-641.0
100	0.05	-893.575391499	-3393.0	-888.8	-641.0
101	0.0505	-893.575391499	-3393.0	-888.8	-641.0
102	0.051	-893.575391499	-3393.0	-888.8	-641.0
103	0.0515	-893.575391499	-3393.0	-888.8	-641.0
104	0.052	-893.575391499	-3393.0	-888.8	-641.0
105	0.0525	-893.575391499	-3393.0	-888.8	-641.0
106	0.053	-893.575391499	-3393.0	-888.8	-641.0
107	0.0535	-893.575391499	-3393.0	-888.8	-641.0
108	0.054	-893.575391499	-3393.0	-888.8	-641.0
109	0.0545	-893.575391499	-3393.0	-888.8	-641.0
110	0.055	-893.575391499	-3393.0	-888.8	-641.0
111	0.0555	-893.575391499	-3393.0	-888.8	-641.0
112	0.056	-893.575391499	-3393.0	-888.8	-641.0
113	0.0565	-893.575391499	-3393.0	-888.8	-641.0
114	0.057	-893.575391499	-3393.0	-888.8	-641.0
115	0.0575	-893.575391499	-3393.0	-888.8	-641.0
116	0.058	-893.575391499	-3393.0	-888.8	-641.0
117	0.0585	-893.575391499	-3393.0	-888.8	-641.0
